qid,query,topic_number,turn_number
17_7,potential energy is stored energy that is waiting to be released while mechanical energy is energy that is used in motion potential energy is energy that an object has due to its position like a rock that is at the top of a hill,17.0,7.0
17_8,no potential and kinetic energy are not the same potential energy is stored energy while kinetic energy is energy of motion potential energy is released when an object moves at which point the kinetic energy becomes available sound is a form of,17.0,8.0
17_9,answer chemical energy is a type of potential energy potential energy is energy that is stored in an object due to its position or configuration chemical energy is the energy stored in the bonds between atoms or molecules it can be released through chemical,17.0,9.0
17_10,answer the form of energy used in eating is chemical energy chemical energy is released when food molecules are broken down during digestion releasing energy stored in the chemical bonds this energy is then used by the body to power various metabolic processes,17.0,10.0
18_1,uranus is the seventh planet from the sun and the third largest in the solar system it is the only planet that rotates on its side so its axis of rotation is tilted almost 98 degrees from the plane of its orbit,18.0,1.0
18_2,uranus is a gas giant planet that is unusual because it has a tilted orbital axis this means that its axis is tilted at an angle of 97 77 degrees compared to the plane of its orbit this has resulted in its north,18.0,2.0
18_3,uranus is the seventh planet from the sun and it orbits the sun once every 84 earth years it is the third largest planet in our solar system and is made up mostly of hydrogen and helium it has 27 moons and is the,18.0,3.0
18_4,uranus is tilted on its side because it experienced a strong collision with a large object in its past likely a planetoid or dwarf planet the collision was so significant that the planet s rotational axis was changed resulting in its,18.0,4.0
18_5,uranus rotates on its side meaning it is tilted at an angle of 98 degrees this is why the sun rises in the west and sets in the east on uranus this is different from other planets which rotate on,18.0,5.0
18_6,uranus has very peculiar seasons compared to other planets its seasons last for 21 years and during that time the sun shines directly over each pole for 84 years this means that the planet experiences long periods of daylight and darkness the tilt,18.0,6.0
18_7,no there are no other planets similar to uranus uranus is unique due to its extreme tilt of 97 8 degrees which is the largest tilt of any planet in the solar system additionally its orbit is also highly unusual,18.0,7.0
18_8,neptune is the eighth and farthest known planet from the sun in the solar system it is the fourth largest planet after jupiter saturn and uranus it is the fourth most massive planet and has the most dense,18.0,8.0
18_9,neptune is important to our solar system because it helps to stabilize the orbits of other planets as the most distant planet from the sun neptune s gravitational pull helps to keep the orbits of the other planets in their stable positions additionally,18.0,9.0
18_10,both uranus and neptune are massive planets located on the outer edges of the solar system they are both made up primarily of ice and are among the most distant known planets from the sun they both have a similar number of moons and rings,18.0,10.0
18_11,no life cannot exist on either uranus or neptune both planets are much too cold and lack an atmosphere that could sustain life the temperatures on both planets are too low to allow for liquid water which is essential for life the,18.0,11.0
22_1,the most common spices used in cooking are black pepper garlic turmeric chili powder cumin paprika cinnamon nutmeg coriander cardamom ginger and cloves these spices add flavor to,22.0,1.0
22_2,herbs and spices are both widely used in cooking but they are not the same herbs are the leaves of certain plants while spices are the bark seeds roots and fruits of plants herbs are often used to,22.0,2.0
22_3,spices taste good because they contain a variety of compounds that elicit a range of flavors spices often contain volatile oils which are responsible for the taste and aroma of many spices some of the most common spices used in cooking contain compounds,22.0,3.0
22_4,most spices used in cooking are derived from tropical plants and regions in asia the middle east africa the americas and the caribbean many of the most popular spices such as cinnamon nutmeg cumin and turmeric,22.0,4.0
22_5,spices are used in cuisines around the world but some cuisines rely heavily on spices to give their dishes their signature flavor indian cuisine is known for its heavy use of spices such as cumin coriander,22.0,5.0
22_6,the most popular indian spices are turmeric cumin coriander cardamom mustard ginger fenugreek and asafoetida these spices are used to flavor a variety of indian dishes,22.0,6.0
22_7,turmeric is a common spice used in cooking particularly in indian cuisine it has a bright yellow orange color and a strong flavor it is a member of the ginger family and is often used as a natural dye turmeric has,22.0,7.0
22_8,yes there are numerous benefits associated with consuming turmeric studies have shown that it has powerful anti inflammatory and antioxidant properties it can help reduce the risk of certain types of cancer improve digestion boost cognitive function and reduce cholesterol,22.0,8.0
22_9,the oldest known spice is black pepper which has been used for at least 4 000 years it is native to the malabar coast of india and is used in a variety of cuisines around the world it is also,22.0,9.0
22_10,the most expensive spice is saffron it is the most expensive because it is extremely labor intensive to harvest and process it is made from the stamens of the crocus flower and it takes about 150 000 flowers,22.0,10.0
24_1,there are a number of ways to help your friend quit smoking the most important thing is to be supportive and understanding offer to listen to them when they need to talk and be there to cheer them on when they have successes provide,24.0,1.0
24_2,the long term effects of smoking are varied and serious smoking can cause damage to many organs in the body including the lungs heart and circulatory system smoking can also increase the risk of developing many types of cancer other long,24.0,2.0
24_3,yes smoking is a major risk factor for cancer smoking causes numerous types of cancer including lung cancer throat cancer mouth cancer bladder cancer and pancreatic cancer smoking also increases the risk of other types of cancer such,24.0,3.0
24_4,the most common reason why smoking is addictive is because of the nicotine it contains nicotine is a powerful stimulant that binds to receptors in the brain and produces feelings of pleasure and relaxation it is also highly addictive and can be difficult to,24.0,4.0
24_5,answer yes there are several alternatives to nicotine some examples include vaping snus and nicotine replacement therapies nrts vaping involves inhaling nicotine vapor from an electronic cigarette device snus is a smokeless tobacco,24.0,5.0
24_6,patches are a type of nicotine replacement therapy nrt that has been proven to be effective in helping smokers quit patches are typically worn on the skin and deliver a steady dose of nicotine throughout the day helping reduce cravings,24.0,6.0
24_7,the cold turkey method is a method of quitting smoking where the user abruptly stops using nicotine and cigarettes this method is popular because it allows the user to get rid of nicotine in their system quickly but it can also be difficult to stick to,24.0,7.0
24_8,typical withdrawal symptoms from smoking include cravings for cigarettes irritability anxiety restlessness difficulty concentrating decreased heart rate increased appetite and insomnia other symptoms may include headaches sweating nausea and changes in mood,24.0,8.0
27_1,a balanced diet is a diet that includes a variety of healthy foods from all the major food groups in the right proportions the major food groups are fruits vegetables grains dairy and protein eating a balanced diet helps maintain good health,27.0,1.0
27_2,no a balanced diet is not the same for men and women men often require more calories and nutrients than women due to their higher muscle mass and activity levels men should aim to consume more protein calcium and iron than women,27.0,2.0
27_3,specific recommendations for women regarding a balanced diet include eating a variety of foods with a focus on fruits vegetables whole grains and lean proteins additionally women should aim for a minimum of five servings of fruits and vegetables per day limit,27.0,3.0
27_4,dairy products are not strictly necessary for a good health but they can be a beneficial part of a balanced diet dairy products contain important vitamins and minerals that can contribute to overall health such as calcium vitamin d and phosphorus,27.0,4.0
27_5,yes consuming too much dairy can be harmful to your health dairy products contain saturated fats and cholesterol which can increase your risk of heart disease obesity and other health problems too much dairy can also cause digestive issues such as,27.0,5.0
27_6,fiber is an important part of a balanced diet as it helps to regulate digestion maintain regular bowel movements and prevent constipation it can also help to reduce cholesterol levels and is linked with a lower risk of stroke heart,27.0,6.0
27_7,if you consume fiber in a smaller amount than recommended you may experience digestive issues such as constipation bloating and stomach pain you may also have a higher risk of developing certain health conditions such as heart disease diabetes,27.0,7.0
30_1,some advantages of using linux include its security reliability cost effectiveness and customizability linux is much more secure than other operating systems as it is open source and its source code is freely available this provides users with,30.0,1.0
30_2,yes it is possible to run windows software on linux this is done through a process called wine which is a compatibility layer that allows windows programs to run on linux wine acts as a bridge between windows and linux allowing windows applications,30.0,2.0
30_3,linux is an open source operating system meaning that anyone can view and modify its source code unlike windows linux is free to use and is usually updated more frequently linux is generally more secure than windows as it s less vulnerable to,30.0,3.0
30_4,the most popular operating systems today are microsoft windows and the linux based ubuntu windows is the most popular operating system in the world with a market share of around 85 ubuntu is the most popular linux based operating system with a,30.0,4.0
30_5,installing software on linux is quite simple the easiest way is to use the package manager that is included with the os this allows you to search for and install software from a repository of pre compiled packages you can also download,30.0,5.0
30_6,the easiest way to install python is to use the python installers available for download from the official python website these installers are simple to use and will install the latest version of python on your machine alternatively you can use a package,30.0,6.0
30_7,sharing files is a common task that can be done in a variety of ways one of the most popular methods is using cloud storage services such as google drive dropbox or microsoft onedrive these services provide a convenient way of sharing,30.0,7.0
40_1,the origins of popular music can be traced back to the late 19th century in the united states when the music industry began to develop popular music includes genres such as rock pop hip hop jazz r b country,40.0,1.0
40_2,popular music has many characteristics that make it popular it typically uses upbeat tempos and catchy melodies in order to grab the listener s attention it often has simple lyrics that are easy to remember and relate to it can range from upbeat,40.0,2.0
40_3,technological developments such as the invention of the microphone the electric guitar the phonograph and the synthesizer all enabled the rise of popular music the microphone allowed music to be amplified allowing for bigger and louder sounds the electric,40.0,3.0
40_4,people started taking pop music seriously during the 1950s this was a time when record companies began to invest in creating pop stars and the genre was seen as more than just a passing fad it was a reflection of the youth culture of,40.0,4.0
40_5,popular music has been integrated into music education in a variety of ways such as in the form of teaching students to compose their own original songs learning to play instruments and performing popular music in ensembles music educators often use,40.0,5.0
40_6,some of the most influential pop bands include the beatles the rolling stones the beach boys abba and michael jackson the beatles in particular had a huge influence on the music industry creating an entirely new genre of pop,40.0,6.0
40_7,pop punk is a genre of music that combines elements of punk rock with catchy pop melodies it typically has fast paced and energetic instrumentation with distorted guitars driving drums and melodic vocals pop punk songs often have lyrics about teenage,40.0,7.0
40_8,the main difference between pop punk and emo is the sound and attitude pop punk typically has a more upbeat sound with catchy choruses and power chords while emo is generally more introspective and slower in tempo while both genres,40.0,8.0
49_1,netflix was founded in 1997 by reed hastings and marc randolph the two had met while working at pure software and decided to start their own business the idea for netflix came about when randolph noticed the popularity of blockbuster s movie,49.0,1.0
49_2,netflix was originally founded in 1997 and offered a subscription service that allowed customers to rent dvds through the mail customers would select a movie from the company s website and the dvd would be delivered to their home within a few days customers would,49.0,2.0
49_3,netflix started out as a dvd by mail service in 1998 and its relationship with blockbuster was initially competitive blockbuster a well known chain of video rental stores offered customers the ability to rent movies in store,49.0,3.0
49_4,netflix began its shift from dvd rental to a streaming service in 2007 the streaming service was initially available only to customers in the united states with other countries gradually being added over time netflix began to phase out the use of physical media,49.0,4.0
49_5,netflix s main competitors are amazon prime video hulu apple tv disney hbo max and cbs all access,49.0,5.0
49_6,netflix and amazon prime video are both video streaming services that offer a wide range of movies television shows and other content netflix offers an extensive library of original series movies documentaries and stand up specials while amazon prime video has,49.0,6.0
49_7,netflix s subscriber growth has been remarkable over the past decade the streaming giant has seen its subscriber base grow from around 20 million users in 2010 to over 167 million as of 2020 this growth has been driven by the increasing popularity of streaming,49.0,7.0
49_8,netflix has changed the way people watch tv by allowing them to watch their favorite shows and movies on demand through its streaming service users can watch whatever they want whenever they want netflix has also changed the way content is produced with,49.0,8.0
50_1,the first artificial satellite was sputnik 1 launched by the soviet union in 1957 it was a metal sphere about the size of a beach ball weighing around 183 pounds it was launched with the purpose of studying earth s atmosphere,50.0,1.0
50_2,the types of orbits are circular elliptical polar geosynchronous and sun synchronous circular orbits are the simplest and most common where the satellite follows a circular path around the center of mass ellipt,50.0,2.0
50_3,the important classes of satellites are communication satellites navigation satellites remote sensing satellites weather satellites and scientific research satellites communication satellites are used to relay signals such as television radio and telephone navigation satellites provide precise positioning and timing data,50.0,3.0
50_4,navigation systems use a combination of satellites receivers and software to determine the location of a device the system uses the signals from satellites to determine the distance between them and the receiver and then uses the information to calculate the exact location,50.0,4.0
50_5,the galileo system is a satellite navigation system developed by the european union and is the first global satellite navigation system it is used for positioning navigation and timing services with a greater accuracy and integrity than any other system the system provides signals,50.0,5.0
50_6,the development of the galileo system caused tension between the us and europe due to competition for control of satellite navigation technology the us gps system was developed during the cold war and was funded by the us government the galileo system was developed by the,50.0,6.0
50_7,cubesats are miniaturized satellites that are typically used for space research and technology demonstrations they are usually cube shaped measuring 10 cm on each side and weighing 1 kg or less they can be deployed in a variety of orbits,50.0,7.0
50_8,the advantages of cubesats are their relatively low cost their simple design and their versatility their small size allows them to be built quickly and easily while their simple structure allows for easy customization they can be used for research,50.0,8.0
54_1,washington d c is home to many important sites and monuments including the white house the capitol building the washington monument the lincoln memorial the national mall the smithsonian institution museums the national archives the national zoo,54.0,1.0
54_2,the most popular smithsonian museums in washington d c are the national air and space museum the national museum of natural history the national museum of american history the national portrait gallery the hirshhorn museum and sculpture,54.0,2.0
54_3,the national air and space museum is important because it is the largest and most visited museum in the world dedicated to the history of aviation and space exploration it contains hundreds of thousands of artifacts including the wright brothers plane the apollo 11,54.0,3.0
54_4,no the spy museum in washington d c is not free it costs 19 95 for adults and 15 95 for children,54.0,4.0
54_5,after the museums close there are plenty of activities and attractions to enjoy in washington d c visitors can take guided nighttime tours of the monuments and memorials such as the lincoln memorial washington monument and vietnam veterans memorial,54.0,5.0
54_6,the best time to visit the reflecting pools in washington dc is during the spring and early summer months the pools located on the national mall offer a unique view of the city and are especially beautiful when the surrounding trees are in bloom,54.0,6.0
54_7,there are many famous foods in washington d c that are popular with both locals and visitors alike some of the most iconic dishes include half smokes smoked and grilled sausages chili half smokes crab,54.0,7.0
54_8,a dc half smoke is a popular sausage dish originating in washington d c it is a large smoked sausage made of pork and beef usually served on a steamed bun with condiments such as mustard onions and chili sauce,54.0,8.0
54_9,the neolithic revolution also known as the agricultural revolution began around 10 000 bce and ended around 4 000 bce it started when humans began to transition from hunter gatherer lifestyles to settled farming communities that relied on domesticated,54.0,9.0
56_1,darwin s theory of evolution also known as the theory of natural selection is the idea that species evolve through the process of natural selection this process involves the selection of certain genetic variations that are better suited to the current environment and,56.0,1.0
56_2,charles darwin developed his theory of evolution through natural selection during the mid 1800s after a five year voyage around the world aboard the hms beagle during this voyage darwin made several observations about the plants animals and geology of,56.0,2.0
56_3,sexual and asexual reproduction both have an effect on darwin s theory of evolution darwin s theory states that all species evolve over time adapting to their environment in order to survive sexual reproduction involves the fusion of two different sets of genetic material,56.0,3.0
56_4,fossils are used to understand darwin s theory by providing evidence to support it fossils are the physical remains of ancient organisms that have been preserved in the earth s crust by studying the structure and composition of fossils scientists can infer,56.0,4.0
56_5,modern evidence for the theory of evolution includes genetic data fossil records and direct observation of the process of natural selection genetic data provides evidence of common ancestry and of the changes that have occurred over time fossil records provide evidence of extinct,56.0,5.0
56_6,the impact of darwin s theory of evolution on modern biology has been profound it has provided an evidence based explanation for the diversity of life on earth and has had an immense influence on the way biologists study and understand the natural world,56.0,6.0
56_7,microevolution is the process of small genetic changes over time which may result in new species this usually occurs over a long period of time as small changes accumulate and become more significant macroevolution on the other hand,56.0,7.0
56_8,the relationship between speciation and evolution is that speciation is the process by which new species arise from existing species this is an integral part of the evolutionary process speciation occurs when populations of a single species become separated and evolve independently,56.0,8.0
58_1,a real time database is a type of database system that is designed to respond quickly to changes in its data this allows for data to be accessed and updated in real time meaning that the user or application can see the changes as,58.0,1.0
58_2,a real time database is a database that is designed for low latency and quick response times it is able to process data as it is received meaning that data can be updated and queried instantaneously this is in contrast to traditional,58.0,2.0
58_3,the main advantage of real time processing is that it allows for faster response times and quicker decision making real time processing can help reduce costs by reducing the amount of time spent manually processing data it also allows businesses to respond more quickly,58.0,3.0
58_4,examples of important real time databases include apache cassandra mongodb apache hbase redis and couchbase they are used for applications that require near instantaneous access to large datasets such as web mobile,58.0,4.0
58_5,real time databases are important applications in a variety of industries some examples include financial markets manufacturing transportation retail healthcare gaming and telecommunications they are used for streaming analytics event processing iot applications and machine learning,58.0,5.0
58_6,important cloud options include amazon web services microsoft azure google cloud platform salesforce cloud oracle cloud and ibm cloud these cloud options provide businesses with a wide range of services such as cloud computing storage networking analytics,58.0,6.0
58_7,firebase db is a cloud based real time database developed by google it is designed to store and sync data between web and mobile applications in real time it allows developers to store data in a nosql cloud database,58.0,7.0
58_8,firebase db is often used in mobile app development as it provides a real time database for storing managing and syncing data between users and applications firebase db simplifies the development process by providing a flexible cloud hosted,58.0,8.0
61_1,the avengers is a team of superheroes in the marvel universe the original team was formed in 1963 and consisted of iron man thor the hulk ant man and the wasp since then the team has grown to include,61.0,1.0
61_2,the avengers first appeared in the avengers 1 in september 1963 the original lineup included iron man ant man the wasp thor and the hulk the team was assembled by iron man to fight a common threat and,61.0,2.0
61_3,the most powerful avenger is generally agreed to be thor the god of thunder thor is the son of odin the all father and has the power to control lightning and the elements thor also wields the mighty mjoln,61.0,3.0
61_4,spider man has been a part of the avengers team since its inception he originally joined the team in the first issue of the avengers comics series in 1963 he has been a leader and a valued member of the team since then often,61.0,4.0
61_5,batman is not a member of the avengers because he is a dc comics character and the avengers are marvel comics characters while marvel and dc have both been acquired by disney the two universes are still kept distinct due to the large fan following each,61.0,5.0
61_6,the most important team in the dc universe is the justice league the justice league is a team of powerful superheroes including superman batman wonder woman aquaman the flash green lantern martian manhunter and hawkgirl,61.0,6.0
61_7,the justice league first appeared in the comic book series the brave and the bold in 1960 the team was created by comic legend gardner fox and featured some of dc s most beloved characters including batman superman wonder woman aquaman,61.0,7.0
61_8,the important members of the justice league include superman batman wonder woman aquaman the flash martian manhunter green lantern hawkgirl and zatanna they are all heroes with unique powers and abilities who work,61.0,8.0
69_1,jet lag is a condition that can be caused by traveling across multiple time zones the best way to get over jet lag is to adjust your sleeping pattern as quickly as possible to the local time you can do this by going to bed and,69.0,1.0
69_2,yes melatonin can help with jet lag it is a hormone that is naturally found in the body and helps to regulate sleep taking melatonin supplements can help reset the body s internal clock and make it easier to adjust to the new,69.0,2.0
69_3,melatonin was discovered by aaron b lerner in 1958 he noted that extracts from the pineal glands of cows were able to influence the color of frog skin further research showed that the hormone was responsible for regulating circadian rhythms in animals,69.0,3.0
69_4,good sources of food include fresh fruits and vegetables lean proteins such as fish poultry and beans whole grains and dairy products eating a variety of these foods will help to ensure that you get all the essential nutrients your body needs,69.0,4.0
69_5,no melatonin is not bad for you when taken as directed it is a hormone naturally produced by the body to help regulate sleep cycles it is available over the counter in the form of a supplement and can be taken to,69.0,5.0
69_6,the side effects of melatonin can include headaches dizziness nausea and irritability some people may also experience drowsiness confusion depression and vivid dreams it is important to speak with a doctor before taking melatonin,69.0,6.0
69_7,melatonin is a hormone produced in the body that helps regulate the sleep wake cycle in the uk melatonin is classified as a prescription only medicine meaning it can only be prescribed by a doctor this is because it can,69.0,7.0
69_8,one of the best ways to naturally increase your melatonin levels is by eating foods rich in melatonin such as bananas oats sweet potatoes tomatoes almonds walnuts and cherries another way is to get plenty of natural,69.0,8.0
69_9,yes melatonin is effective for treating insomnia studies show that taking melatonin supplements can help people fall asleep faster and improve the overall quality of sleep people with jet lag or shift work disorder often find that taking melatonin can help them,69.0,9.0
69_10,melatonin has been studied for its potential to help with anxiety some studies have found that taking melatonin before bed can reduce anxiety and stress however more research is needed to definitively say whether it is an effective treatment it is important,69.0,10.0
75_1,the terms turkey and turkey share the same name because they are both derived from the name of the country in southwest asia that is officially known as the republic of turkey the term turkey has been used since,75.0,1.0
75_2,turkeys are native to north america and were first domesticated by indigenous peoples in mexico about 2500 years ago they then spread to the rest of the americas as well as europe and asia the wild turkey is still found in parts of,75.0,2.0
75_3,the importance of turkeys in native american cultures varied from tribe to tribe some tribes used them for food while others revered them as a sacred animal many tribes used the feathers of turkeys for ceremonial purposes and the feathers were often used,75.0,3.0
75_4,turkeys were first domesticated in central mexico around 2500 bc it is believed that they were first domesticated by the aztecs who used them for their meat feathers and eggs turkeys were then brought to europe in,75.0,4.0
75_5,yes turkeys are capable of flight although they don t fly for long distances wild turkeys can fly up to 55 mph for short periods of time domesticated turkeys on the other hand are not as capable,75.0,5.0
75_6,ben franklin wanted the turkey to be the national symbol of the united states as a way to honor the native americans he believed that the turkey was a more dignified and courageous choice than the bald eagle which was the favored alternative he,75.0,6.0
75_8,the tradition of eating turkey on thanksgiving originated in the united states it was a custom of the english colonists who celebrated the harvest with a feast turkeys were abundant in the wild so they were the perfect choice for a large meal,75.0,8.0
79_1,sociology is the study of human social behavior and its underlying causes it examines the social structures institutions and organizations that shape human interaction and the ways in which individuals and groups interact in society it also examines how social interactions are,79.0,1.0
79_2,the main contribution of auguste comte is his development of the discipline of sociology comte coined the term sociology and is considered the father of the field he argued that societies and individuals could be studied using the same,79.0,2.0
79_3,the role of positivism in sociology is to use scientific methods to explain social phenomena positivism is a philosophical approach which emphasizes the use of scientific data and empirical evidence to understand the world the french philosopher auguste comte is credited,79.0,3.0
79_4,herbert spencer is best known for his contribution to the field of sociology he was a british philosopher who developed the concept of social darwinism which argued that individuals had the same evolutionary drive for success and that society should be organized accordingly,79.0,4.0
79_5,herbert spencer was an english philosopher and sociologist who is largely known for his contributions to evolutionary theory he was heavily influenced by comte s work particularly in his views on the importance of social progress and the evolution of society he,79.0,5.0
79_6,the functionalist theory also known as functionalism is a sociological perspective that views society as a complex structure composed of interdependent parts this theory sees society as an organism with individual parts functioning together in order to maintain the stability,79.0,6.0
79_7,the main criticism of the functionalist theory is that it is too deterministic reducing human behavior to the functioning of social structures it is also criticized for ignoring power dynamics and the ways in which certain groups are disadvantaged in society it is,79.0,7.0
79_8,the conflict theory is based on the idea that society is composed of competing interests and power dynamics conflict theorists believe that power is unevenly distributed and that the wealthy and powerful are able to manipulate the system in order to maintain their positions of,79.0,8.0
79_9,modern examples of conflict theory can be seen in the unequal distribution of wealth political power and resources in many societies examples include wage inequality the concentration of corporate ownership discrimination against minorities and government policies that favor certain groups conflict,79.0,9.0
82_1,genetically modified organisms gmos are organisms whose genetic material has been altered using biotechnology gmo food labeling is the process of labeling products to indicate that they contain gmos it is a controversial issue in many countries as,82.0,1.0
82_2,the pros of gmo food labeling are that it increases transparency and allows consumers to make informed decisions about their food purchases it also allows companies to differentiate their products and label them accurately allowing consumers to make more informed choices the cons of gmo,82.0,2.0
82_3,the main cons of gmo food labeling are associated with the cost of implementing it this includes not only the cost of labeling itself but also the cost of research testing and verification to ensure that the product is actually gmo free additionally,82.0,3.0
82_4,the european union eu has strict rules and regulations regarding the labeling of genetically modified organisms gmos labels must be clear and informative and must include the name of the gmo the name of the company that produced it,82.0,4.0
82_5,traceability tools are systems used to track the origin movement and destination of products these tools can be used to trace the source of products the production process how the products were handled or stored and the final destination of,82.0,5.0
82_6,co extra is a traceability tool developed by the european commission to help identify and track food products throughout the production chain and ensure transparency in the food industry it provides a comprehensive database of information about food products including information about ingredients,82.0,6.0
82_7,testing for contamination is typically done through chemical analysis which involves measuring the levels of contaminants such as bacteria heavy metals and pesticides in the food this can be done through a variety of methods including microbiological physical and chemical testing,82.0,7.0
82_8,the main difference between the european and us approaches to gmo food labeling is that the eu requires mandatory labeling of foods that contain gmos whereas the us does not in the eu all foods that contain ingredients or additives that are produced from gmos,82.0,8.0
82_9,the dna based method involves analyzing the genetic material of the food sample to determine if it has been genetically modified this can be done by extracting the dna and using pcr polymerase chain reaction to detect any foreign or modified dna,82.0,9.0
82_10,co extra could improve gmo food labeling by making it easier to trace products from the farm to the consumer this could be achieved by using co extra s traceability tools which scan product barcodes and keep track of the products throughout,82.0,10.0
83_1,bees are among the most important insects in the world playing a vital role in pollination here are some interesting facts about them bees have been around for more than 100 million years bees are,83.0,1.0
83_2,honey does not spoil or rot as it is composed of mostly sugars and water it has a very low water content which means that bacteria and other microorganisms cannot grow in it additionally the sugar content of honey inhibits the growth,83.0,2.0
83_3,the decline of bees has been attributed to a variety of factors such as the use of pesticides and monoculture farming parasite infestations climate change and habitat loss the combination of these factors has resulted in the death of,83.0,3.0
83_4,to help stop bee die offs people can take action in a few ways first they can plant bee friendly plants in their gardens and yards this means flowers and other plants that attract bees such as lavender da,83.0,4.0
83_5,the habitat of bees has been drastically reduced due to land development intensive farming and the use of pesticides bees need a variety of flowers and plants to feed on but these have been replaced by mono crops which are not,83.0,5.0
83_6,you can help with the problem of bee decline in a number of ways planting flowers and avoiding pesticides are two of the most important things you can do planting wildflowers and flowering trees shrubs and herbs can provide,83.0,6.0
83_7,the cause of colony collapse disorder ccd is still unknown however some of the leading theories suggest a combination of factors such as pests pathogens parasites poor nutrition and environmental stressors pesticides pathogens,83.0,7.0
83_8,if bees were to die out it would be catastrophic for our environment bees are incredibly important for pollination as they are responsible for the transfer of pollen between the male and female parts of the plant enabling fertilization and the production,83.0,8.0
84_1,seed investment is the earliest form of venture capital funding provided to startups it is used to finance the development of a company s product or service typically in exchange for equity or convertible debt during the seed investment stage investors typically provide,84.0,1.0
84_2,angel rounds are a type of early stage fundraising for startups angel investors are individuals who invest their own money into a company in exchange for equity or debt angel rounds usually involve a small number of investors usually five to ten who,84.0,2.0
84_3,crowdfunding is a type of funding that is raised from a large number of people usually through an online platform it differs from seed investment in that it does not usually involve any equity or ownership in the company being funded and can,84.0,3.0
84_4,a typical a series round usually consists of a large amount of money invested in a startup by venture capitalists the size of the investment can vary greatly depending on the startup s stage but it is typically in the millions of dollars in some,84.0,4.0
84_5,the risks of investing in a startup are significant and include the risk of losing all of one s capital as well as the risks associated with the potential for fraud and mismanagement startups are typically high risk investments and the lack,84.0,5.0
84_6,venture capital vc is a type of private equity that is used to finance the growth of startups and small businesses vcs typically invest in a company in exchange for equity and often provide additional funding in the form of debt financing,84.0,6.0
85_1,the cost of a used lamborghini can vary greatly depending on the model age and condition generally the cost for a used lamborghini can range from around 50 000 to 400 000 or more a,85.0,1.0
85_2,the lamborghini and ferrari are both italian sports cars known for their luxurious designs and powerful engines lamborghinis are known for their aggressive styling while ferraris are known for their sleek and sophisticated look lamborghinis tend to have,85.0,2.0
85_3,a pimp out food truck can cost anywhere between 20 000 and 200 000 depending on the size quality of equipment and level of customization the cost of a food truck is much lower than a traditional restaurant,85.0,3.0
85_4,in order to operate a food truck you will need to obtain a variety of licenses and permits depending on your location you may need a business license food truck permit health permit alcohol permit fire safety permit and,85.0,4.0
85_5,a good location for a food truck is one that has a lot of foot traffic such as near a busy street or a park it should also be near potential customers such as office buildings apartments or universities additionally the,85.0,5.0
85_6,a typical day for someone working in a food truck business can involve a lot of early mornings long days and late nights depending on the type of food truck the day may include setting up the truck prepping the food,85.0,6.0
85_7,running a successful food truck requires careful planning you need to develop a business plan determine your target market create a menu find a location obtain the necessary licenses and permits invest in reliable equipment and hire a team of qualified,85.0,7.0
